N,Z,A,Mass Excess (keV)
106,81,187,-22444.592
107,81,188,-22336.403
109,81,190,-24366.236
110,81,191,-26282.951
111,81,192,-25872.249
112,81,193,-27477.218
113,81,194,-26937.498
115,81,196,-27496.598
119,81,200,-27047.227
120,81,201,-27180.778
121,81,202,-25980.419
122,81,203,-25761.309
123,81,204,-24346.07
97,82,179,2051.608
98,82,180,-1941.069
99,82,181,-3110.631
100,82,182,-6824.556
102,82,184,-11051.586
103,82,185,-11541.211
105,82,187,-14986.955
106,82,188,-17811.024
109,82,191,-20291.243
110,82,192,-22551.846
112,82,194,-24207.866
113,82,195,-23738.039
114,82,196,-25348.234
115,82,197,-24745.385
116,82,198,-26067.443
117,82,199,-25231.734
118,82,200,-26250.858
119,82,201,-25271.033
120,82,202,-25940.608
121,82,203,-24786.483
122,82,204,-25109.815
124,82,206,-23785.506
103,83,186,-3145.497
105,83,188,-7194.8
106,83,189,-10064.664
108,83,191,-13239.351
109,83,192,-13534.537
110,83,193,-15884.563
112,83,195,-18025.567
113,83,196,-18009.032
114,83,197,-19687.196
115,83,198,-19373.851
116,83,199,-20797.616
117,83,200,-20370.574
119,83,202,-20750.854
120,83,203,-21524.893
121,83,204,-20645.927
122,83,205,-21065.569
123,83,206,-20028.201
124,83,207,-20054.554
125,83,208,-18870.151
126,83,209,-18258.589
127,83,210,-14791.905
128,83,211,-11859.116
104,84,188,-544.378
107,84,191,-5068.731
108,84,192,-8066.483
110,84,194,-11004.617
111,84,195,-11116.655
112,84,196,-13468.731
113,84,197,-13393.078
115,84,199,-15238.829
116,84,200,-16941.683
117,84,201,-16521.166
118,84,202,-17941.569
120,84,204,-18341.045
121,84,205,-17521.398
122,84,206,-18188.668
124,84,208,-17469.207
128,84,212,-10369.408
130,84,214,-4469.972
106,85,191,3863.913
107,85,192,2925.742
108,85,193,-67.323
110,85,195,-3470.299
111,85,196,-3913.175
114,85,199,-8823.377
115,85,200,-8987.894
116,85,201,-10789.441
118,85,203,-12162.607
119,85,204,-11875.252
120,85,205,-12984.519
122,85,207,-13227.482
125,85,210,-11972.099
126,85,211,-11647.191
127,85,212,-8628.149
130,85,215,-1256.583
131,85,216,2256.678
132,85,217,4394.598
108,86,194,5724.624
109,86,195,5050.285
110,86,196,1975.169
111,86,197,1510.368
112,86,198,-1230.32
113,86,199,-1559.846
114,86,200,-4000.454
117,86,203,-6184.045
